"type","code","message","context","selector"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.1.NoTitleEl","A title should be provided for the document, using a non-empty title element in the head section.","<head><meta charset=\"utf-8\"><meta nam...</head>","html > head"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa.","<span class=\"text-md font-medium text-text-light\">Considerações de Design</span>","#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(2) > a > div > span"
